,,Ranks,Integrated Ranks,"Out of 640 problem instances, the IBFS yeilded the number of times the results related to the Ranking position",,,,,,,,,,,,,,,
IBFS Method,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
WPCM2-TCM-AM,,2,1.85,1257,21,111,37,59,35,29,22,14,9,3,1,0,1,0,1
WPCM2-TOCM-AM,,1,1.84,1256,21,99,56,66,22,34,21,11,3,5,3,3,0,0,0
WPCM2-TCM-STD,,2,1.85,1272,26,99,36,50,24,28,28,15,9,4,2,3,4,0,0
WPCM2-TOCM-STD,,4,1.92,1263,24,95,30,59,38,28,17,14,11,2,9,6,4,0,0
VAM-TCM,,10,8.63,121,75,31,19,50,58,14,7,237,592,270,83,23,6,8,6
VAM-TOCM,,9,8.07,143,74,25,17,71,39,11,5,751,170,246,23,16,5,4,0
RAM-TCM,,8,3.77,1079,1,5,0,56,28,85,54,60,50,38,17,53,25,27,22
RAM-TOCM,,7,3.76,1078,4,2,2,61,22,98,40,62,43,41,20,52,25,30,20
MDM-TCM,,5,3.47,1076,2,4,1,80,20,123,33,83,41,66,20,29,16,5,1
MDM-TOCM,,6,3.48,1076,2,4,2,74,20,126,33,91,33,72,27,14,16,7,3
JHM-TCM,,13,13.23,0,0,0,0,1,3,3,9,32,12,144,120,698,126,452,0
JHM-TOCM,,13,13.23,0,0,0,0,1,3,3,9,32,12,144,120,698,126,452,0
MT-TCM,,11,10.29,14,9,53,23,25,19,60,19,250,174,460,305,61,74,35,19
MT-TOCM,,12,10.57,13,13,55,22,23,21,58,26,177,206,325,401,67,101,29,63
KSAM-TCM,,16,14.62,0,0,0,0,5,7,8,3,14,16,81,62,209,232,43,920
KSAM-TOCM,,15,13.73,0,0,0,2,4,7,7,8,26,24,102,101,341,144,810,24
