Instance,Costs
1,2266505
2,2430870
3,2430610
4,2365400
5,2377991
6,2283861
7,2338162
8,2160531
9,2330034
10,2350057
11,1640962
12,1514704
13,1529284
14,1567782
15,1540363
16,735601
17,671732
18,847583
19,750681
20,613854
21,2487887
22,2439770
23,2438992
24,2539696
25,2379231
26,2338926
27,2349824
28,2368811
29,2316849
30,2357248
31,1726389
32,1859932
33,1779266
34,1687309
35,1747248
36,1029457
37,928803
38,852699
39,905091
40,1056413
41,2541659
42,2402336
43,2565793
44,2451566
45,2461526
46,2425609
47,2434948
48,2358749
49,2438082
50,2409414
51,2349293
52,2035689
53,2126872
54,2065467
55,2127609
56,1911261
57,1600893
58,2099900
59,1717932
60,2265017
61,2514430
62,2459407
63,2378083
64,2514458
65,2500252
66,2428145
67,2482844
68,2503976
69,2419635
70,2400522
71,2644838
72,2312083
73,2446634
74,2426310
75,2542781
76,2223807
77,2426629
78,2518887
79,2506009
80,2336180
81,4872288
82,4938585
83,4867042
84,4729005
85,4840438
86,4629636
87,4246681
88,4539471
89,4612125
90,4597669
91,3013648
92,3156513
93,3086739
94,2951054
95,3090807
96,1208540
97,1295994
98,1619107
99,1241424
100,909580
101,4964211
102,4987885
103,4900460
104,4761842
105,4896747
106,4568821
107,4537490
108,4758064
109,4703179
110,4750589
111,3437522
112,3561307
113,3522850
114,3445706
115,3644611
116,1906465
117,2151022
118,1931123
119,1461747
120,2613241
121,4970351
122,4995902
123,4868909
124,4908141
125,4811034
126,4789676
127,4736039
128,4688098
129,4941792
130,4751093
131,4347025
132,4134298
133,3783068
134,4119895
135,4399696
136,3551835
137,3971413
138,3385558
139,3291565
140,3216261
141,4947730
142,5038859
143,4934057
144,4917037
145,4941600
146,4799362
147,4968240
148,4977986
149,4834936
150,5112947
151,5002415
152,5094947
153,4981439
154,4494612
155,4980785
156,4279661
157,5530851
158,3708879
159,4716770
160,5195663
161,6465457
162,7265751
163,6805184
164,7290674
165,7315216
166,6885824
167,6716407
168,6794416
169,6893185
170,6829501
171,4627115
172,4797971
173,4582823
174,4376093
175,4681316
176,2045164
177,1940197
178,1818145
179,1974897
180,2031212
181,7342703
182,7332497
183,7365196
184,7423178
185,7200470
186,6931613
187,7011087
188,7131560
189,7080137
190,7008138
191,5251935
192,5297638
193,5524471
194,5259605
195,5017694
196,2846475
197,2990694
198,2753667
199,3107784
200,2485316
201,7383507
202,7445162
203,7423934
204,7357814
205,7517705
206,7174151
207,7253652
208,7192536
209,7342260
210,7207713
211,6469538
212,6525767
213,6201238
214,6306987
215,6558287
216,5716440
217,4726530
218,6161741
219,5646077
220,5071139
221,7407889
222,7434901
223,7555985
224,7409087
225,7401072
226,7526830
227,7304594
228,7660883
229,7396888
230,7338020
231,6665751
232,7177913
233,7339842
234,6645599
235,7745773
236,7091520
237,7700612
238,6100186
239,7499257
240,7542956
241,9034871
242,9679668
243,9874943
244,8672333
245,9225216
246,8565361
247,8915752
248,8903451
249,9180260
250,9221494
251,6076902
252,6387225
253,6293120
254,6115446
255,5541987
256,2294435
257,3003009
258,2662540
259,2597928
260,2339815
261,9784823
262,9994853
263,9725153
264,9975244
265,9942557
266,9399114
267,9391695
268,9305209
269,9436036
270,9324739
271,6441011
272,7024571
273,7158437
274,7034969
275,6693708
276,3998112
277,3546405
278,3653459
279,3903357
280,4135855
281,9862662
282,9952323
283,9910822
284,9944163
285,9720911
286,9589142
287,9487873
288,9640433
289,9574386
290,9495102
291,8646633
292,8594087
293,8306114
294,8558173
295,8066475
296,6781105
297,6769660
298,7458273
299,6843813
300,7318393
301,9827721
302,9992014
303,9969329
304,9928209
305,9940675
306,9772463
307,9977028
308,9820497
309,9847919
310,10027785
311,9966913
312,10220281
313,9628259
314,10223795
315,9795237
316,9771226
317,9491130
318,9487373
319,9179167
320,8160636
321,12216438
322,12426767
323,11986450
324,12275248
325,12295080
326,10698000
327,11269224
328,11624096
329,11248617
330,10895710
331,7740938
332,7804540
333,7775249
334,7024423
335,7716451
336,2589201
337,3142328
338,2317911
339,2737297
340,2662409
341,12208135
342,12324016
343,12394635
344,12063395
345,12158396
346,11510964
347,11553970
348,11625267
349,11425494
350,11815547
351,8468111
352,8682794
353,8689723
354,8421884
355,8680509
356,4691993
357,4476347
358,4627336
359,4649508
360,5229292
361,12355976
362,12300396
363,12486865
364,12372258
365,12305167
366,12137974
367,12173768
368,12059713
369,11877077
370,11954486
371,10776338
372,10373842
373,10260476
374,10425032
375,10655865
376,8195892
377,8563588
378,8194467
379,8854773
380,8361694
381,12565336
382,12340316
383,12526436
384,12407773
385,12339371
386,12342090
387,12134632
388,12553461
389,12507959
390,12395262
391,11649466
392,12090229
393,12246249
394,12440812
395,12839871
396,11848459
397,11916631
398,11930340
399,10995558
400,12566391
401,2347143
402,2476271
403,2313684
404,2426600
405,2477050
406,2209707
407,2285595
408,2219302
409,2105277
410,2188887
411,1496233
412,1611615
413,1399691
414,1559958
415,1451814
416,572886
417,364553
418,452006
419,534686
420,541140
421,2375448
422,2436467
423,2452816
424,2492986
425,2416230
426,2278756
427,2333560
428,2287526
429,2290626
430,2382451
431,1701402
432,1709697
433,1580174
434,1618592
435,1643477
436,921069
437,890997
438,887065
439,1009543
440,755395
441,2455296
442,2505845
443,2438764
444,2422351
445,2597528
446,2362039
447,2357250
448,2341570
449,2414484
450,2312464
451,1959116
452,2097955
453,1794964
454,2131269
455,2049786
456,1754509
457,1441953
458,1198533
459,1286885
460,1138262
461,2428965
462,2487849
463,2588742
464,2485238
465,2437729
466,2525485
467,2369887
468,2379911
469,2484099
470,2415133
471,1966252
472,2413320
473,2043059
474,2132134
475,2231505
476,2043451
477,1961730
478,2536571
479,1889205
480,1794863
481,4978028
482,4721141
483,4765901
484,4880712
485,4863167
486,4596715
487,4462877
488,4582900
489,4346562
490,4123277
491,2867151
492,2848849
493,2952088
494,2993014
495,2905863
496,936543
497,889640
498,920668
499,974510
500,959071
501,4994493
502,4897970
503,4865427
504,4879829
505,4861585
506,4587413
507,4490293
508,4627252
509,4661676
510,4585431
511,3325243
512,3167795
513,3310074
514,3224651
515,3422039
516,1463107
517,1675232
518,1491029
519,1626708
520,1595935
521,4923494
522,4873172
523,4997716
524,4897903
525,4961198
526,4653811
527,4675885
528,4801646
529,4756126
530,4721346
531,3802084
532,3844055
533,3828680
534,3798503
535,3738007
536,2424374
537,2409590
538,2377697
539,2942381
540,2513719
541,4894198
542,5004333
543,4895397
544,4956343
545,5100986
546,4976293
547,4806528
548,4715665
549,4816523
550,4938439
551,4319882
552,4522022
553,4269838
554,4385661
555,4806610
556,4466861
557,3615201
558,3347986
559,3871183
560,3914109
561,7359258
562,7544651
563,7254919
564,6947775
565,7252465
566,6735393
567,6815730
568,6731301
569,6945980
570,6416136
571,4548507
572,4596166
573,4408103
574,4262171
575,4306219
576,1301789
577,1722359
578,1644797
579,1453922
580,1378739
581,7296389
582,7358431
583,7395249
584,7336714
585,7296921
586,6797890
587,6976045
588,6992354
589,6984127
590,6815075
591,4623268
592,4861931
593,4736522
594,4728959
595,4657573
596,1758912
597,1977627
598,2215784
599,2281402
600,2351440
601,7459549
602,7308767
603,7477516
604,7458867
605,7384062
606,7146307
607,7270376
608,7339057
609,7027105
610,6941429
611,5877797
612,5641587
613,5981100
614,5680467
615,5580615
616,4150428
617,4393400
618,3917244
619,4679429
620,4164875
621,7410960
622,7321199
623,7403465
624,7381256
625,7339262
626,7226167
627,7263109
628,7232132
629,7266752
630,7448112
631,6910370
632,6916577
633,6713525
634,6657553
635,7164695
636,5407288
637,6456328
638,6465211
639,5562295
640,6075227
,9796878
,9738789
,9714048
,9695637
,9579958
,9217399
,8990140
,9043452
,8996085
,9280437
,5778699
,5853368
,5868031
,5453978
,6049530
,2130783
,1889867
,1658379
,1812688
,1936214
,9733281
,9904716
,9952133
,9845775
,9782733
,9356841
,9298486
,9034948
,9123331
,9118994
,6363799
,6538556
,6162512
,6535333
,6419855
,2799854
,2562593
,2752415
,2472373
,3137991
,9746297
,9645614
,9829235
,9725753
,10099424
,9379537
,9456517
,9502882
,9253002
,9587713
,7881105
,7608140
,7903491
,7671948
,7691681
,4674484
,5923867
,5213533
,5146923
,5524577
,9864733
,9809553
,9923429
,9989039
,9835184
,9755803
,9677036
,9539735
,9718078
,9592633
,8318923
,9644661
,8876215
,8897791
,8882394
,7494477
,7134355
,6636369
,8522311
,8017056
,12010858
,11849107
,11984813
,12321205
,12285417
,10969074
,11449708
,11484077
,11499465
,11421660
,7310151
,7260185
,7349394
,7068463
,7178742
,1987214
,2263860
,2191496
,1929475
,2198507
,12110880
,12379208
,12367454
,12465062
,12466180
,11478667
,11619351
,11628895
,11550115
,11428248
,7860137
,8266585
,7879567
,7958808
,8069207
,3885361
,3366591
,3732214
,3931297
,3739285
,12288203
,12516292
,12458732
,12207606
,12225675
,11901667
,11899796
,12046807
,11705456
,11754287
,9540968
,9556397
,9445602
,9639569
,9657084
,6611099
,5999891
,6538099
,7732363
,8002074
,12338089
,12363768
,12250616
,12361717
,12557230
,11979403
,12089113
,12483389
,11973001
,12096063
,11464453
,11034167
,10970139
,10915289
,11753181
,10050585
,10199690
,10436370
,8562257
,9007552
,2362323
,2414038
,2401319
,2407658
,2474548
,2252686
,2244964
,2311732
,2235259
,2211263
,1498296
,1443893
,1417828
,1534680
,1451797
,459835
,597523
,498623
,629399
,469113
,2383947
,2532414
,2448066
,2500001
,2467886
,2286358
,2348274
,2252442
,2354701
,2308039
,1707543
,1617383
,1616603
,1516518
,1604760
,876047
,712196
,769877
,702932
,1114046
,2432524
,2468165
,2436761
,2433944
,2350481
,2385265
,2385542
,2461010
,2233729
,2341117
,1841008
,1836677
,1847260
,1872282
,1838040
,1264430
,1197015
,1360829
,991800
,1426998
,2474674
,2428784
,2549813
,2414333
,2346489
,2341805
,2470106
,2367914
,2363255
,2407713
,2113114
,2218471
,2295722
,2087613
,1836078
,1946924
,1978659
,1654098
,2153592
,2036449
,4838151
,4979960
,4913411
,4835436
,4575301
,4516682
,4278465
,4545462
,4558947
,4496508
,2850132
,2871223
,2873279
,2905998
,2875677
,929546
,840840
,797070
,894807
,943847
,4829956
,4834059
,4876714
,4790191
,4962397
,4464544
,4596537
,4535562
,4523612
,4641977
,3212621
,3075762
,3281150
,3198357
,3292705
,1342108
,1393856
,1305710
,1591749
,1341824
,4954249
,4891889
,4949171
,4959074
,4856025
,4675571
,4706530
,4698501
,4681073
,4571358
,3531234
,3679370
,3640189
,3617378
,3712939
,2165663
,2262431
,2076089
,2427588
,2319064
,4994105
,4895209
,4945493
,5047957
,4876872
,4742691
,4660356
,4832099
,4730695
,4830389
,4321532
,4483824
,4535201
,4222734
,4244046
,3376015
,3249422
,3604178
,3154743
,3509698
,7207560
,7167830
,7171407
,7269591
,7306456
,6654645
,6792725
,6752225
,6290454
,6778973
,4395107
,4354963
,4358130
,4290379
,4278463
,1144105
,1099987
,1371455
,1228160
,1171084
,7248785
,7385408
,7309695
,7399628
,7333099
,7063840
,6818896
,6823754
,6832350
,6913853
,4633319
,4564671
,4719699
,4822977
,4800203
,1919518
,1719189
,1580431
,1769413
,1652114
,7446380
,7369024
,7404075
,7333974
,7331670
,7015942
,7169922
,7154470
,7038466
,7092624
,5298696
,5115308
,5419910
,5835660
,5300710
,3287008
,3415740
,3660557
,3132975
,3722580
,7454277
,7483189
,7374548
,7321119
,7306090
,7412867
,7224809
,7204230
,7254673
,7263472
,6244513
,6261246
,6176737
,6483742
,6544567
,5489877
,5540609
,4833090
,5178143
,4540916
,9680963
,9757997
,9782565
,9576339
,9431722
,9178131
,9059793
,8913524
,9031032
,8620520
,5629248
,5709508
,5718424
,5844853
,5580399
,1561254
,1375537
,1293664
,1455609
,1554481
,9767250
,9808412
,9993912
,9663803
,9681632
,9192496
,9079055
,9112058
,9101267
,9307588
,6093352
,6236006
,6114446
,6096079
,6130342
,2475200
,2837253
,2973535
,2677054
,2237196
,9884205
,9797314
,9820070
,9727823
,9896293
,9499687
,9272544
,9293456
,9324456
,9257979
,7213814
,7411186
,7336516
,7337429
,7265754
,4530596
,4399166
,4853971
,4717120
,4908703
,9835776
,9801726
,9803332
,9984216
,9871037
,9653190
,9835222
,9535236
,9514671
,9714259
,8164542
,8249020
,7853124
,8527254
,8479329
,7326831
,6236655
,6930334
,7664242
,7121325
,11953631
,11912163
,12347950
,12205844
,11849561
,11470173
,11321906
,10864423
,11557915
,11278589
,7227864
,7174583
,6864636
,7008720
,7033893
,1756485
,2095274
,1723908
,1959553
,1884036
,12075481
,12289005
,12293811
,12172136
,12431142
,11535548
,11331419
,11688782
,11305593
,11345243
,8030104
,7941963
,7800747
,7517867
,7562703
,2507158
,2576831
,2728984
,3235168
,2899821
,12297486
,12257824
,12417095
,12355810
,12530029
,11726354
,11988888
,11633135
,11664951
,11846911
,8951726
,9194564
,8931112
,9073911
,8950126
,5497449
,5605954
,4648209
,5903636
,5475329
,12314377
,12225696
,12291280
,12376080
,12381835
,12189202
,11853883
,12163610
,11841428
,12023714
,10570411
,11092412
,11269536
,10395150
,10590591
,8419963
,9878889
,8506406
,9275222
,7704416
,2494865
,2371551
,2416982
,2351320
,2420214
,2205178
,2250427
,2223668
,2248631
,2245636
,1515503
,1395191
,1518890
,1509309
,1468097
,514300
,452513
,376556
,452559
,523399
,2424170
,2489368
,2538975
,2387520
,2517909
,2233165
,2303915
,2285963
,2254894
,2291906
,1539831
,1562508
,1493743
,1578175
,1582980
,641711
,657000
,703951
,600590
,763256
,2451569
,2468683
,2521503
,2422956
,2361054
,2288204
,2438991
,2342707
,2333519
,2318899
,1794882
,1756609
,1777012
,1701980
,1812178
,1118927
,1194713
,987629
,1054699
,954834
,2440159
,2517498
,2455989
,2469512
,2418135
,2333211
,2388074
,2404620
,2400704
,2476712
,1927693
,1915625
,2176935
,2014434
,2059602
,1752584
,1281349
,1601203
,1414487
,1671755
,4553925
,4971635
,4732644
,4699371
,4965644
,4449031
,4599507
,4575347
,4517372
,4480580
,2741273
,2783649
,2898085
,3015681
,2867530
,801453
,740334
,1007913
,860330
,666646
,4968745
,4894595
,4910551
,4873674
,4813121
,4602985
,4595997
,4646345
,4576247
,4586725
,3126565
,2896332
,3067535
,2964900
,3070801
,1103940
,1104970
,1268289
,1296831
,1066129
,4929427
,4885172
,4856441
,4986592
,4911006
,4734763
,4679575
,4751271
,4710423
,4749764
,3784728
,3213001
,3707283
,3574770
,3289614
,1825079
,2095171
,1975477
,2265302
,2071617
,4857360
,4971049
,4888062
,4906154
,5005084
,4639365
,4778538
,4786401
,4806141
,4747668
,3995124
,4398176
,4079269
,4020578
,4195552
,3344030
,3199911
,3197446
,2858443
,3034420
,7353593
,7438615
,7363089
