Instance,Costs
1,2278229
2,2439286
3,2442157
4,2380460
5,2393908
6,2316398
7,2347422
8,2175841
9,2352156
10,2374790
11,1581045
12,1459396
13,1585933
14,1597443
15,1592383
16,673905
17,562089
18,707063
19,567177
20,472320
21,2503334
22,2456807
23,2454577
24,2555592
25,2391428
26,2328773
27,2383871
28,2399869
29,2336715
30,2376576
31,1711700
32,1751956
33,1740293
34,1700325
35,1737808
36,913026
37,918868
38,852273
39,836836
40,865728
41,2549406
42,2412209
43,2575552
44,2466429
45,2476880
46,2440922
47,2451804
48,2381788
49,2431796
50,2408652
51,2283077
52,2039413
53,2137546
54,2042275
55,2000687
56,1774121
57,1504084
58,1999109
59,1621970
60,2047682
61,2509613
62,2459407
63,2380294
64,2514458
65,2500252
66,2419110
67,2480762
68,2503976
69,2430432
70,2427699
71,2644838
72,2276691
73,2358396
74,2426726
75,2509866
76,2177313
77,2426629
78,2467482
79,2506009
80,2336180
81,4913632
82,4970572
83,4901770
84,4766608
85,4876052
86,4661484
87,4289607
88,4604367
89,4687332
90,4640895
91,2970509
92,3145697
93,3081922
94,2910113
95,3079761
96,1082591
97,1200566
98,1420133
99,1170610
100,962663
101,4993863
102,5026660
103,4939803
104,4806735
105,4928565
106,4585076
107,4591805
108,4804264
109,4751044
110,4823592
111,3489308
112,3547580
113,3465270
114,3447147
115,3522382
116,1668603
117,1982189
118,1898522
119,1435316
120,2312626
121,4997774
122,5020959
123,4865595
124,4934005
125,4858380
126,4798129
127,4732788
128,4672639
129,4982038
130,4814439
131,4228274
132,4021450
133,3802591
134,3967552
135,4284356
136,3290097
137,3737609
138,3372273
139,2938190
140,3171572
141,4947730
142,5038859
143,4951227
144,4917037
145,4941870
146,4799362
147,4968240
148,4963102
149,4834936
150,5092617
151,5002415
152,5094947
153,4981439
154,4410882
155,4980785
156,4263406
157,5449203
158,3451515
159,4716770
160,5089493
161,6504862
162,7313475
163,6852116
164,7340968
165,7369624
166,6993456
167,6843010
168,6846280
169,6950092
170,6975266
171,4576000
172,4569875
173,4646917
174,4555091
175,4753131
176,1739717
177,1954197
178,1745504
179,1741253
180,1807581
181,7405837
182,7392773
183,7415980
184,7487757
185,7279610
186,7001906
187,7131574
188,7192565
189,7185946
190,7039435
191,5130123
192,5192544
193,5427482
194,5116249
195,5105422
196,2819304
197,2633661
198,2679976
199,2801073
200,2402908
201,7421457
202,7484054
203,7463522
204,7399360
205,7556367
206,7351162
207,7261466
208,7249596
209,7432464
210,7239050
211,6360427
212,6435628
213,5865726
214,6239005
215,6603005
216,5357716
217,4221861
218,5814829
219,5225151
220,5132510
221,7420482
222,7434901
223,7555985
224,7419564
225,7411795
226,7526830
227,7350610
228,7660883
229,7396888
230,7338020
231,6669108
232,7177913
233,7339842
234,6542908
235,7676587
236,7091520
237,7662319
238,5886003
239,7294123
240,7534064
241,9086569
242,9760932
243,9947479
244,8752040
245,9300816
246,8627380
247,9078788
248,9034308
249,9306471
250,9345799
251,6048731
252,6216378
253,6159973
254,6057109
255,5354636
256,2120467
257,2786886
258,2380388
259,2462397
260,2153248
261,9884009
262,10067666
263,9819866
264,10031910
265,10027688
266,9516342
267,9550311
268,9442984
269,9560730
270,9505531
271,6540605
272,7042774
273,6987637
274,6803580
275,6667237
276,3488248
277,3365904
278,3299327
279,3708668
280,3965604
281,9933924
282,10006950
283,9906442
284,9996174
285,9770049
286,9695626
287,9556859
288,9767354
289,9663497
290,9536227
291,8353602
292,8494927
293,8122174
294,8249083
295,8079834
296,6519212
297,6730372
298,7011586
299,6693543
300,6810947
301,9831009
302,9992014
303,9969700
304,9928209
305,9940675
306,9721718
307,9965110
308,9813133
309,9777795
310,10027785
311,9966913
312,10177673
313,9628259
314,10223795
315,9795237
316,9710307
317,9460004
318,8802750
319,8796921
320,7569187
321,12307042
322,12533354
323,12090392
324,12363727
325,12394194
326,10847687
327,11470335
328,11723517
329,11327028
330,11052544
331,7667067
332,7642183
333,7785445
334,6867343
335,7535736
336,2542256
337,3087160
338,2246027
339,2527282
340,2500145
341,12324993
342,12444415
343,12496555
344,12170466
345,12272422
346,11729002
347,11724428
348,11787783
349,11594216
350,12046997
351,8224485
352,8594187
353,8575905
354,8434003
355,8622936
356,4476985
357,4327366
358,4515187
359,4520990
360,4763204
361,12414677
362,12350770
363,12529565
364,12442571
365,12340635
366,12195753
367,12186430
368,12225690
369,11850526
370,12137939
371,10860545
372,10291069
373,9926044
374,10032728
375,10149780
376,7884187
377,8086828
378,8197185
379,7996388
380,8375619
381,12565357
382,12340316
383,12526436
384,12407773
385,12339371
386,12386036
387,12202272
388,12553461
389,12505477
390,12395262
391,11402402
392,11774847
393,12246249
394,12440812
395,12839871
396,11812237
397,11727023
398,11917580
399,10308987
400,12566391
401,2365820
402,2491709
403,2329484
404,2436015
405,2488541
406,2228807
407,2303857
408,2235400
409,2127573
410,2217300
411,1540989
412,1552874
413,1409245
414,1501623
415,1505048
416,437733
417,374737
418,406313
419,537713
420,576046
421,2397510
422,2451901
423,2478258
424,2510271
425,2431000
426,2316182
427,2360183
428,2338341
429,2309548
430,2391958
431,1642150
432,1645769
433,1583120
434,1663825
435,1591744
436,759843
437,842742
438,805120
439,820097
440,707756
441,2468163
442,2518856
443,2442661
444,2431541
445,2606878
446,2418774
447,2381006
448,2367718
449,2432549
450,2361715
451,1891276
452,2003865
453,1809882
454,2023514
455,1959224
456,1737462
457,1317537
458,1231329
459,1271629
460,1130121
461,2432789
462,2499098
463,2597222
464,2487703
465,2440561
466,2526026
467,2357667
468,2376536
469,2488637
470,2435693
471,1990188
472,2345199
473,2050960
474,2157602
475,2168058
476,1777888
477,1898922
478,2323761
479,1761393
480,1794140
481,5009296
482,4753943
483,4806233
484,4921082
485,4904390
486,4633675
487,4523753
488,4641859
489,4377168
490,4179324
491,2878921
492,2803229
493,2911454
494,3026160
495,2925794
496,930708
497,785616
498,874890
499,913303
500,783229
501,5030148
502,4934843
503,4903672
504,4923897
505,4895587
506,4625954
507,4547788
508,4695516
509,4711613
510,4629416
511,3264071
512,3170948
513,3188834
514,3167936
515,3312120
516,1359291
517,1643621
518,1467881
519,1393512
520,1431570
521,4966290
522,4912602
523,5041915
524,4941256
525,5000065
526,4732692
527,4737615
528,4848537
529,4806768
530,4700402
531,3759652
532,3819258
533,3772315
534,3624354
535,3693287
536,2461338
537,2379168
538,2344820
539,2507769
540,2475528
541,4915196
542,5023910
543,4899442
544,4973694
545,5121085
546,4927805
547,4865351
548,4764545
549,4805999
550,5015506
551,4208998
552,4439504
553,4165473
554,4232031
555,4703908
556,4081679
557,3451679
558,3474897
559,3483420
560,3761488
561,7417059
562,7594125
563,7301299
564,6990941
565,7297700
566,6817330
567,6902306
568,6808908
569,7016005
570,6487903
571,4521514
572,4405955
573,4331279
574,4161356
575,4437280
576,1188983
577,1502342
578,1267556
579,1269719
580,1255358
581,7341927
582,7426352
583,7451527
584,7375600
585,7366786
586,6910115
587,7085626
588,7102865
589,7067291
590,6873099
591,4491418
592,4730611
593,4785871
594,4806560
595,4763886
596,1809290
597,1835124
598,2059323
599,2094335
600,2162253
601,7511309
602,7357014
603,7511187
604,7509537
605,7397629
606,7210247
607,7325852
608,7430295
609,7090794
610,6959424
611,5855573
612,5595932
613,6002652
614,5571074
615,5626674
616,3895921
617,4167731
618,3681493
619,4293456
620,3871677
621,7441580
622,7333610
623,7445184
624,7429611
625,7356292
626,7339831
627,7280931
628,7307761
629,7357327
630,7499540
631,6515651
632,6805689
633,6512514
634,6512650
635,6952215
636,5149636
637,5851527
638,6206751
639,5514693
640,5905959
,9859801
,9802563
,9780275
,9767266
,9645269
,9337781
,9102298
,9149778
,9080277
,9381617
,5707499
,5840680
,5731228
,5494668
,5931065
,1801690
,1709600
,1631156
,1812140
,1722344
,9805800
,9975678
,10019027
,9890823
,9854508
,9456070
,9433478
,9185070
,9287712
,9195888
,6250639
,6440973
,6166836
,6581258
,6419400
,2541034
,2639391
,2587791
,2494783
,3126761
,9783270
,9713414
,9893869
,9786690
,10185712
,9536419
,9661354
,9582032
,9320982
,9664264
,7625730
,7473501
,7501845
,7694245
,7539129
,4511386
,5616270
,4470236
,5243745
,4993094
,9896840
,9823987
,9920826
,10020469
,9890865
,9857245
,9719909
,9465726
,9757792
,9755496
,8311949
,9359446
,8862857
,8690128
,8647914
,7099412
,6627687
,6529696
,8307346
,7432056
,12091594
,11932683
,12079610
,12407746
,12361281
,11112070
,11575350
,11685647
,11675104
,11537998
,7259650
,7260336
,7196113
,7174387
,7198718
,1803408
,2150661
,2063543
,1689032
,1965911
,12207098
,12476688
,12479953
,12595189
,12572256
,11648055
,11809617
,11761840
,11688810
,11561303
,7821027
,8142899
,7831235
,8004989
,7926811
,3485006
,2846730
,3440954
,3426594
,3476307
,12367068
,12615420
,12516692
,12274704
,12271074
,11931452
,11999097
,12175028
,11882755
,12003161
,9574869
,9315064
,9351946
,9654481
,9476196
,6198550
,6057409
,6309442
,6821207
,7270523
,12364785
,12423063
,12295985
,12401096
,12613761
,12025129
,12205869
,12433907
,12026475
,12122100
,11228864
,10691746
,10909726
,10492763
,11430068
,9527662
,9389311
,9807662
,8203077
,8911906
,2380048
,2426800
,2415162
,2419810
,2490067
,2251916
,2281254
,2328350
,2244902
,2230209
,1469584
,1512521
,1447150
,1519658
,1453448
,443945
,455463
,376755
,498688
,337699
,2396812
,2548727
,2465721
,2522323
,2483309
,2307212
,2369408
,2271172
,2381737
,2342704
,1644516
,1534375
,1643085
,1503786
,1582878
,654404
,644308
,639569
,702701
,844923
,2446803
,2486096
,2445062
,2449891
,2357434
,2405297
,2377518
,2485282
,2266224
,2367552
,1788170
,1744833
,1795611
,1724096
,1794778
,1323574
,959798
,1129069
,959011
,1242629
,2481463
,2441532
,2564618
,2432548
,2368915
,2364855
,2486771
,2363671
,2365590
,2432259
,2123458
,2126848
,2129134
,2078290
,1883869
,1776767
,1876400
,1594835
,2004580
,1860675
,4866691
,5009170
,4941787
,4873535
,4607544
,4570707
,4336060
,4595211
,4582639
,4565229
,2861267
,2913722
,2906843
,2895149
,2865568
,857632
,856262
,855731
,774346
,848338
,4875788
,4876868
,4910200
,4820787
,5003474
,4504464
,4641565
,4590886
,4577715
,4720229
,3129597
,3174350
,3131234
,3150344
,3133340
,1255098
,1406349
,1311060
,1357924
,1151076
,4996137
,4920454
,4979178
,4978442
,4902470
,4699847
,4755665
,4796842
,4732630
,4644312
,3499305
,3660051
,3478592
,3669276
,3741785
,2006440
,2093696
,1964281
,2257856
,2222354
,5008270
,4923199
,4948423
,5063631
,4903050
,4748892
,4748131
,4864593
,4726709
,4841086
,4189149
,4441582
,4404686
,4175332
,4065782
,3433522
,3266893
,3253851
,3104609
,3467658
,7253529
,7221694
,7225157
,7315345
,7357218
,6733744
,6843037
,6808199
,6331033
,6859558
,4325149
,4311522
,4298518
,4266453
,4388217
,1077919
,1102332
,1031485
,1119519
,1136738
,7318757
,7441451
,7367287
,7463748
,7386298
,7162593
,6922451
,6907113
,6883553
,7018014
,4687418
,4557318
,4790353
,4834019
,4714162
,1797846
,1615209
,1471584
,1580613
,1544092
,7494130
,7432009
,7453108
,7376536
,7392582
,7067582
,7229130
,7249277
,7168731
,7164048
,5331441
,4953550
,5412689
,5628150
,5268410
,3000067
,3246493
,3116113
,2980688
,3428417
,7494810
,7529144
,7418902
,7364203
,7338331
,7545555
,7286062
,7193757
,7354706
,7289097
,6201572
,6302767
,6061304
,6418895
,6279905
,5130915
,5311157
,4626157
,4747800
,4387225
,9746678
,9820743
,9839135
,9638991
,9497649
,9308149
,9179071
,9033131
,9104914
,8747494
,5633528
,5674055
,5762518
,5698858
,5669476
,1394501
,1342368
,1243673
,1250773
,1384685
,9834264
