Instance,Costs
1,2285813
2,2443930
3,2443167
4,2384398
5,2396973
6,2334094
7,2382943
8,2211000
9,2361280
10,2381146
11,1558354
12,1478394
13,1577525
14,1623062
15,1586374
16,659949
17,595589
18,713446
19,567177
20,465324
21,2516363
22,2458977
23,2456419
24,2560934
25,2391812
26,2357595
27,2396649
28,2443449
29,2356330
30,2419456
31,1787001
32,1727967
33,1806941
34,1710298
35,1718264
36,915153
37,941839
38,805929
39,837131
40,928630
41,2549406
42,2412789
43,2575552
44,2466603
45,2478998
46,2476875
47,2490399
48,2388218
49,2445199
50,2416453
51,2293317
52,2087120
53,2172472
54,2042275
55,2012069
56,1774121
57,1475931
58,1999109
59,1589914
60,2019311
61,2509067
62,2459407
63,2382975
64,2514458
65,2500252
66,2427808
67,2480762
68,2503976
69,2429280
70,2434400
71,2644838
72,2292641
73,2357913
74,2425726
75,2527477
76,2177985
77,2426629
78,2467482
79,2506009
80,2336180
81,4925940
82,4984399
83,4916229
84,4773525
85,4888359
86,4737821
87,4328025
88,4648552
89,4723187
90,4707790
91,3054566
92,3187682
93,3099197
94,3006356
95,3135256
96,1072068
97,1201366
98,1411707
99,1248475
100,929744
101,4999340
102,5027409
103,4946659
104,4811273
105,4939427
106,4607467
107,4635560
108,4892854
109,4822653
110,4880950
111,3532398
112,3660821
113,3550240
114,3537474
115,3587176
116,1686823
117,2018416
118,1867435
119,1412061
120,2288019
121,4997884
122,5025529
123,4860967
124,4935212
125,4859587
126,4807501
127,4751819
128,4715507
129,5041753
130,4866694
131,4303471
132,4089068
133,3815071
134,4065072
135,4287431
136,3226369
137,3743819
138,3372273
139,2890337
140,3206500
141,4947730
142,5038859
143,4950977
144,4917037
145,4941870
146,4799362
147,4968240
148,4947809
149,4834936
150,5083435
151,5002415
152,5094947
153,4981439
154,4453363
155,4980785
156,4263406
157,5449203
158,3451515
159,4716770
160,5089493
161,6518105
162,7336433
163,6874128
164,7358321
165,7385736
166,7039900
167,6896074
168,6884217
169,7021051
170,7026209
171,4686455
172,4735102
173,4666795
174,4649162
175,4830795
176,1755621
177,1956986
178,1762571
179,1741253
180,1815564
181,7411720
182,7399302
183,7427527
184,7502157
185,7291399
186,7048260
187,7248540
188,7257174
189,7252531
190,7114976
191,5234440
192,5317869
193,5496065
194,5239387
195,5194422
196,2790202
197,2657388
198,2675822
199,2803056
200,2355083
201,7422062
202,7485301
203,7469074
204,7401929
205,7563747
206,7377054
207,7295557
208,7318858
209,7512959
210,7309704
211,6385238
212,6428298
213,5861860
214,6310328
215,6640158
216,5373793
217,4241014
218,5795257
219,5221623
220,5132631
221,7420743
222,7434901
223,7555985
224,7422549
225,7413125
226,7526830
227,7358357
228,7660883
229,7396888
230,7338020
231,6679560
232,7177913
233,7339842
234,6613403
235,7709255
236,7091520
237,7662319
238,5910431
239,7294123
240,7534064
241,9106301
242,9794266
243,9981406
244,8775244
245,9331493
246,8682502
247,9170904
248,9098931
249,9421350
250,9467451
251,6214404
252,6317097
253,6213475
254,6172085
255,5345397
256,2049354
257,2658019
258,2439068
259,2516120
260,2118591
261,9899867
262,10095360
263,9845944
264,10058127
265,10046207
266,9634538
267,9687877
268,9563624
269,9623900
270,9584492
271,6577776
272,7113400
273,7098098
274,6972013
275,6792177
276,3445791
277,3338892
278,3324468
279,3733777
280,3949542
281,9941222
282,10007461
283,9912818
284,9998927
285,9771267
286,9809493
287,9620698
288,9856181
289,9769553
290,9632319
291,8439057
292,8493292
293,8168100
294,8450795
295,8167851
296,6530670
297,6733440
298,7094513
299,6676745
300,6865457
301,9835314
302,9992014
303,9969700
304,9928209
305,9940675
306,9753103
307,9988832
308,9812102
309,9802864
310,10027785
311,9966913
312,10176998
313,9628259
314,10223795
315,9795237
316,9710307
317,9460004
318,8727123
319,8763403
320,7688668
321,12330404
322,12563203
323,12123682
324,12378196
325,12430995
326,10921165
327,11570662
328,11839535
329,11426797
330,11159572
331,7804365
332,7825815
333,7899068
334,6942889
335,7729751
336,2542256
337,2982932
338,2258573
339,2624559
340,2510740
341,12344323
342,12465238
343,12525267
344,12195875
345,12295083
346,11821749
347,11905706
348,11896863
349,11748705
350,12185985
351,8252578
352,8677435
353,8686718
354,8478319
355,8727076
356,4423638
357,4354241
358,4510653
359,4567252
360,4862130
361,12418171
362,12376457
363,12534847
364,12443545
365,12361204
366,12331692
367,12263304
368,12306825
369,11869729
370,12201166
371,10963217
372,10377909
373,9982500
374,10045785
375,10337249
376,7843667
377,8084189
378,8196369
379,7913333
380,8354987
381,12573122
382,12340316
383,12526436
384,12407773
385,12339371
386,12443006
387,12275937
388,12553461
389,12506989
390,12395262
391,11458936
392,11876593
