Instance,Costs
1,922763
2,948336
3,965483
4,935907
5,963413
6,965231
7,999863
8,982056
9,990987
10,949989
11,921847
12,881711
13,881910
14,870561
15,907924
16,879603
17,866694
18,954747
19,886429
20,868564
21,617290
22,613960
23,612003
24,591492
25,661967
26,650685
27,612720
28,661401
29,612694
30,656386
31,266337
32,356627
33,365231
34,243029
35,270338
36,262135
37,366262
38,334294
39,278314
40,198897
41,1050800
42,993586
43,969681
44,989131
45,954079
46,985045
47,993522
48,915314
49,1021898
50,1009918
51,924705
52,914321
53,877630
54,954664
55,921593
56,952852
57,948110
58,890122
59,892234
60,900131
61,638323
62,562986
63,520017
64,591644
65,580726
66,574945
67,639445
68,613304
69,571021
70,592999
71,152553
72,172175
73,189199
74,160981
75,187688
76,228758
77,261955
78,198649
79,189773
80,224163
81,940654
82,966831
83,987029
84,971977
85,954826
86,936643
87,960382
88,971007
89,978480
90,912716
91,899185
92,895237
93,956913
94,875591
95,929734
96,897340
97,931759
98,904567
99,873267
100,934489
101,566430
102,564582
103,576152
104,606985
105,552379
106,575778
107,602035
108,581628
109,600337
110,576734
111,162991
112,171803
113,186607
114,224188
115,222662
116,324648
117,202601
118,144439
119,176792
120,135677
121,893220
122,1044394
123,987692
124,967151
125,939306
126,994845
127,990506
128,985957
129,1022204
130,971435
131,932672
132,928864
133,931740
134,958154
135,948292
136,943018
137,894115
138,936642
139,871702
140,958936
141,607952
142,594216
143,599063
144,618479
145,590188
146,597801
147,556943
148,581956
149,596590
150,595701
151,159263
152,159350
153,240090
154,200922
155,187148
156,154655
157,139825
158,238479
159,178726
160,194382
161,1827686
162,1908462
163,1841476
164,1896201
165,1891355
166,2048428
167,1959738
168,1844614
169,1889938
170,1944125
,1848610
,1816638
,1790954
,1817183
,1748761
,1834201
,1821319
,1716356
,1798612
,1768789
,1270659
,1239984
,1246977
,1240019
,1151687
,1120490
,1157448
,1173261
,1238087
,1270645
,536721
,497792
,494546
,518632
,636875
,494231
,531008
,435505
,608569
,460917
,1885127
,1936064
,1951012
,2011828
,1990262
,1977377
,1970516
,1944048
,1882214
,1948336
,1844619
,1844175
,1766103
,1873395
,1861682
,1861134
,1834610
,1887331
,1775863
,1813951
,1160777
,1242829
,1226381
,1133099
,1188235
,1290535
,1149448
,1129862
,1152412
,1160349
,380761
,393013
,339669
,255359
,355360
,402128
,405665
,349533
,407723
,358615
,1946415
,1930213
,1888967
,1931495
,1889237
,1948266
,1914919
,1987379
,1914115
,1935908
,1854733
,1786932
,1844617
,1868338
,1873364
,1840448
,1812864
,1893161
,1875796
,1728061
,1144058
,1191039
,1167831
,1205621
,1189402
,1147172
,1158464
,1176595
,1124231
,1141675
,400615
,288306
,399776
,326829
,410355
,385021
,391435
,343515
,309168
,357158
,1982801
,1967033
,1863397
,1927694
,1975298
,1916761
,2007930
,1941224
,1977838
,1974143
,1838167
,1866853
,1820140
,1855614
,1759779
,1916000
,1814356
,1803137
,1776130
,1899857
,1206194
,1231150
,1198820
,1116245
,1176451
,1202255
,1222330
,1171299
,1120453
,1186065
,374146
,474110
,344813
,328447
,308172
,355824
,382442
,400356
,299633
,431614
,2666288
,2872292
,2790605
,2807723
,2836006
,2960880
,2986736
,2902838
,2890162
,2887985
,2762681
,2742325
,2713488
,2517727
,2694584
,2589508
,2563691
,2488459
,2647209
,2642218
,1793521
,1837162
,1798184
,1767696
,1723771
,1638998
,1813430
,1796462
,1844624
,1752862
,975633
,603767
,815195
,819324
,598740
,592526
,753566
,729032
,619075
,625956
,2884032
,2972073
,2868283
,2925454
,2859675
,2940585
,2905788
,2882032
,2913006
,2976458
,2794328
,2824007
,2747081
,2762119
,2761113
,2677858
,2751188
,2676662
,2709344
,2667545
,1792361
,1817955
,1803070
,1755720
,1842080
,1799955
,1825931
,1728210
,1705146
,1721337
,510428
,469173
,455784
,529862
,522000
,558852
,513312
,532977
,517498
,473732
,2931457
,2962243
,2897035
,2906335
,2817125
,2928269
,2910339
,2902026
,2922479
,3005208
,2693140
,2734949
,2742247
,2715984
,2645299
,2736880
,2713334
,2736996
,2717029
,2773988
,1850835
,1786005
,1779153
,1754168
,1697136
,1770774
,1824446
,1779139
,1722239
,1756563
,526458
,450442
,386989
,597510
,549188
,490887
,456340
,655027
,510946
,530774
,2909450
,2906594
,2915705
,2897947
,2996494
,2950789
,2980631
,2927837
,2934141
,2911505
,2832512
,2705959
,2707878
,2818448
,2704920
,2760240
,2767504
,2697206
,2801211
,2769600
,1757621
,1693233
,1769924
,1739448
,1768839
,1751668
,1893530
,1733027
,1792920
,1708362
,481806
,469882
,610931
,524405
,593080
,585517
,516779
,431656
,648277
,572673
,5028107
,4739592
,4888892
,4871020
,4871723
,4914367
,4864487
,4716701
,4927218
,4912146
,4454743
,4611830
,4598609
,4600748
,4521183
,4220811
,4633851
,4589107
,4576685
,4442263
,2904194
,3033423
,2971993
,2941769
,2961080
,3042518
,2987263
,2965566
,2815177
,3160639
,1021948
,1400270
,1018082
,929265
,1190125
,1130394
,1309232
,1516221
,1095228
,1152990
,4893207
,4928340
,4910874
,4887690
,4890419
,4843702
,4928729
,4746812
,4993894
,4911510
,4530829
,4505703
,4593476
,4488298
,4605509
,4524892
,4642395
,4477600
,4514793
,4472195
,2984759
,2869972
,2987076
,2906295
,2828067
,2923685
,2945828
,2930737
,2858482
,2863306
,802801
,972733
,777124
,953373
,990550
,1008315
,931767
,996556
,891018
,817577
,4951986
,4937754
,4919047
,4824973
,4797286
,4949339
,4958932
,4939664
,4918329
,4917717
,4550152
,4596871
,4571401
,4530186
,4510322
,4465425
,4629616
,4722333
,4681577
,4579264
,2878890
,2912910
,2880459
,2878172
,2908003
,2900966
,2922572
,2988762
,2938100
,3026368
,1058786
,775077
,976497
,931280
,1020937
,870526
,892155
,903196
,856110
,920583
,4822360
,4865908
,4907576
,4804867
,5003941
,4891741
,4840833
,4806321
,4879860
,5010534
,4603804
,4473169
,4730823
,4640543
,4517089
,4644830
,4624775
,4580938
,4548211
,4448647
,2944970
,2902397
,2989655
,2910507
,3023219
,2994260
,2973741
,2831961
,3099443
,2909749
,890014
,909241
,907610
,899107
,882061
,1064967
,872060
,973649
,904942
,918883
