Instance,Costs
1,2264315
2,2427081
3,2427488
4,2360120
5,2372697
6,2288891
7,2319911
8,2170155
9,2323729
10,2337896
11,1497484
12,1487577
13,1558469
14,1594778
15,1535154
16,567172
17,608242
18,743828
19,617244
20,583056
21,2479164
22,2421965
23,2424290
24,2527972
25,2368958
26,2259781
27,2293621
28,2296839
29,2258760
30,2307901
31,1483103
32,1473806
33,1407465
34,1477118
35,1455272
36,441917
37,481560
38,363386
39,341264
40,485181
41,2515666
42,2375209
43,2537162
44,2428505
45,2437205
46,2281664
47,2300738
48,2223218
49,2308288
50,2296623
51,1543478
52,1485934
53,1475628
54,1483936
55,1414882
56,423812
57,374216
58,422197
59,435706
60,393923
61,2478182
62,2417232
63,2341615
64,2478755
65,2458353
66,2231183
67,2305498
68,2286671
69,2215685
70,2233050
71,1509425
72,1453219
73,1496323
74,1460819
75,1444626
76,496307
77,408033
78,427186
79,468185
80,522810
81,4870926
82,4936881
83,4873038
84,4731997
85,4835376
86,4614679
87,4216042
88,4555598
89,4606348
90,4593364
91,3032925
92,2972909
93,3120387
94,2912292
95,3115344
96,956155
97,959484
98,1155445
99,1083364
100,1048606
101,4946731
102,4966240
103,4873779
104,4737398
105,4873002
106,4443717
107,4424813
108,4638984
109,4588292
110,4613541
111,3023637
112,2931174
113,3050351
114,2971069
115,2996063
116,984034
117,966290
118,899720
119,825333
120,883763
121,4920962
122,4935849
123,4812919
124,4860746
125,4776326
126,4549374
127,4543875
128,4428943
129,4644565
130,4500118
131,2968218
132,2890554
133,2857417
134,2922362
135,2882193
136,877231
137,907547
138,887357
139,863348
140,1024827
141,4869330
142,4956270
143,4858539
144,4836610
145,4864071
146,4474161
147,4580294
148,4642532
149,4468919
150,4703229
151,2906361
152,3037652
153,2988740
154,2907928
155,2922408
156,850725
157,1068840
158,744120
159,874459
160,884821
161,6458358
162,7260960
163,6800772
164,7285613
165,7307717
166,6865529
167,6692766
168,6759980
169,6876947
170,6821642
171,4446752
172,4839522
173,4400310
174,4373452
175,4506105
176,2151118
177,1949368
178,1764534
179,1979742
180,2258172
181,7315715
182,7296998
183,7330053
184,7390412
185,7172993
186,6807737
187,6884466
188,6977583
189,6925012
190,6811840
191,4364255
192,4379600
193,4507737
194,4449004
195,4347265
196,1497695
197,1369318
198,1278701
199,1324551
200,1448921
201,7312143
202,7371486
203,7350760
204,7289527
205,7432068
206,6803597
207,6782226
208,6845363
209,6969338
210,6780919
211,4413336
212,4377938
213,4475770
214,4418050
215,4505753
216,1218696
217,1077943
218,1479772
219,1378373
220,1286272
221,7298668
222,7316556
223,7441730
224,7299673
225,7291488
226,6849416
227,6767852
228,7037511
229,6782717
230,6774343
231,4303406
232,4420572
233,4291414
234,4343453
235,4483807
236,1433894
237,1305101
238,1167635
239,1486412
240,1255455
241,9030854
242,9671352
243,9865745
244,8664713
245,9230068
246,8504562
247,8931923
248,8944408
249,9143230
250,9182359
251,6042207
252,6048814
253,5899381
254,6241913
255,5085737
256,3000371
257,2332804
258,2492882
259,2281188
260,2102941
261,9747996
262,9961362
263,9693439
264,9936566
265,9901743
266,9195893
267,9156598
268,9106040
269,9237917
270,9155835
271,5815477
272,5997261
273,5862910
274,5968209
275,5850517
276,2104809
277,1903743
278,1841404
279,1911006
280,1874635
281,9790090
282,9853608
283,9804037
284,9836780
285,9632472
286,9104347
287,9051683
288,9157443
289,9102139
290,9029117
291,5940281
292,5971208
293,5924185
294,5710880
295,5890095
296,1891757
297,1820270
298,1936228
299,1931652
300,1772642
301,9680805
302,9819360
303,9804611
304,9775143
305,9771302
306,8994827
307,9197963
308,8999577
309,9140046
310,9195090
311,5895072
312,5971696
313,6062470
314,5794120
315,5731336
316,1691420
317,1761406
318,1851475
319,2116108
320,1771518
321,12212880
322,12424541
323,12000360
324,12263639
325,12289056
326,10680330
327,11238379
328,11633376
329,11257695
330,10879839
331,7413144
332,7986524
333,7507083
334,6720351
335,7629593
336,2844378
337,3020205
338,2095648
339,2448249
340,2687928
341,12158379
342,12272063
343,12343445
344,12019850
345,12098630
346,11290843
347,11337503
348,11345618
349,11209869
350,11595971
351,7242917
352,7420689
353,7488368
354,7363975
355,7314842
356,2394284
357,2217876
358,2428624
359,2237168
360,2277176
361,12232979
362,12181360
363,12344289
364,12240571
365,12168682
366,11418077
367,11424210
368,11322106
369,11268630
370,11272701
371,7291074
372,7360684
373,7359632
374,7353625
375,7473160
376,2244827
377,2229998
378,2408167
379,2208171
380,2254032
381,12369444
382,12144200
383,12314489
384,12198841
385,12128756
386,11540007
387,11311628
388,11500118
389,11490438
390,11316874
391,7116135
392,7406753
393,7175579
394,7404729
395,7415091
396,2062234
397,2203584
398,2525073
399,2169343
400,2217952
401,2349978
402,2473175
403,2310795
404,2422226
405,2472773
406,2199216
407,2270562
408,2210025
409,2086425
410,2180160
411,1519893
412,1595059
413,1442051
414,1446363
415,1439027
416,380019
417,440706
418,512830
419,457839
420,554634
421,2364932
422,2425063
423,2446524
424,2484254
425,2409020
426,2229542
427,2272633
428,2235420
429,2226355
430,2306342
431,1389309
