Instance,Costs
1,2260547
2,2425780
3,2424851
4,2361913
5,2372262
6,2275476
7,2312715
8,2150797
9,2305852
10,2343555
11,1562499
12,1439427
13,1445948
14,1598010
15,1523236
16,451307
17,537781
18,635080
19,459651
20,454875
21,2488537
22,2430999
23,2434983
24,2536004
25,2375606
26,2311677
27,2318537
28,2333894
29,2296921
30,2348089
31,1703698
32,1675440
33,1651054
34,1673844
35,1711439
36,853003
37,965033
38,872061
39,797180
40,956713
41,2528590
42,2398166
43,2557043
44,2443660
45,2459255
46,2358890
47,2407947
48,2323444
49,2428175
50,2399984
51,2095543
52,1832955
53,1854565
54,2042583
55,2006547
56,1411092
57,1334710
58,1563938
59,1366802
60,1416809
61,2507402
62,2452766
63,2374585
64,2514458
65,2487552
66,2378381
67,2477575
68,2430906
69,2388017
70,2375895
71,2141699
72,2272680
73,2449667
74,2375328
75,2329478
76,1917896
77,1973921
78,1774674
79,1895797
80,2000103
81,4868039
82,4936993
83,4863542
84,4722214
85,4839139
86,4604934
87,4205297
88,4537141
89,4608326
90,4584559
91,3111329
92,3037751
93,3084679
94,3048198
95,3027281
96,1185335
97,1049007
98,1279887
99,1167378
100,770656
101,4963574
102,4984482
103,4887109
104,4751779
105,4893630
106,4500713
107,4521086
108,4735541
109,4649540
110,4703459
111,3482668
112,3416102
113,3409751
114,3350093
115,3374280
116,1685967
117,1948341
118,1907734
119,1610287
120,1622741
121,4964948
122,4971168
123,4858683
124,4907343
125,4813030
126,4732965
127,4774938
128,4665357
129,4827974
130,4691341
131,4125627
132,4014768
133,3736406
134,3789916
135,3849347
136,2773392
137,3071524
138,2811413
139,3148419
140,3249501
141,4943479
142,5013776
143,4925050
144,4897845
145,4927129
146,4799362
147,4887906
148,4959847
149,4818740
150,5035713
151,4342020
152,4828431
153,4848474
154,4690874
155,4420500
156,4324824
157,4505878
158,3570069
159,4617809
160,3758161
161,6457268
162,7269234
163,6793014
164,7289531
165,7312163
166,6904107
167,6718867
168,6796745
169,6858263
170,6809551
171,4558859
172,4507309
173,4560110
174,4485914
175,4621270
176,1594951
177,1847738
178,1239386
179,1586048
180,1687004
181,7339529
182,7326257
183,7352033
184,7412822
185,7202574
186,6928893
187,7018925
188,7073626
189,7044491
190,6943396
191,4958869
192,4947896
