Instance,Costs
1,2260547
2,2425780
3,2424851
4,2361461
5,2372262
6,2275290
7,2308594
8,2150797
9,2302232
10,2335550
11,1574942
12,1439427
13,1445948
14,1570371
15,1513159
16,451307
17,532385
18,635080
19,459651
20,470367
21,2489289
22,2428552
23,2432477
24,2535594
25,2376699
26,2296048
27,2316902
28,2344191
29,2296121
30,2344612
31,1771695
32,1685011
33,1668399
34,1675229
35,1699606
36,850311
37,998831
38,856916
39,845290
40,923284
41,2528639
42,2391986
43,2558396
44,2445112
45,2457472
46,2392583
47,2407947
48,2347955
49,2450997
50,2413196
51,2081403
52,1865980
53,1858210
54,1960142
55,2000427
56,1394383
57,1334090
58,1563228
59,1366802
60,1512216
61,2514855
62,2454213
63,2374585
64,2518273
65,2487552
66,2377101
67,2477575
68,2473638
69,2397442
70,2383678
71,2177746
72,2272680
73,2449699
74,2375328
75,2361241
76,1917896
77,1924197
78,1774341
79,1894255
80,2336180
81,4868039
82,4936882
83,4863542
84,4722214
85,4839544
86,4596582
87,4205297
88,4537141
89,4612788
90,4584559
91,3106499
92,3046780
93,3084679
94,2960759
95,3027281
96,1117048
97,1037479
98,1372248
99,1209186
100,770656
101,4965113
102,4983624
103,4887816
104,4753126
105,4892482
106,4505256
107,4517792
108,4727015
109,4659135
110,4704694
111,3518964
112,3512931
113,3448471
114,3315452
115,3404757
116,1677705
117,1803371
118,1889292
119,1670438
120,1854491
121,4961404
122,4970735
123,4863574
124,4907692
125,4811233
126,4776766
127,4783691
128,4653804
129,4828159
130,4700232
131,4090522
132,3984917
133,3707781
134,3815311
135,3849545
136,3036490
137,3224827
138,2939109
139,2830209
140,3238669
141,4930445
142,5026949
143,4933134
144,4895033
145,4929629
146,4799362
147,4960010
148,4955450
149,4818740
150,5035713
151,4189881
152,4828431
153,4500614
154,4690874
155,4502275
156,4441312
157,4505878
158,3521673
159,4859925
160,3742473
161,6457268
162,7270078
163,6793014
164,7291314
165,7314207
166,6895166
167,6723658
168,6798480
169,6862924
170,6839272
171,4482714
172,4507309
173,4555759
174,4489312
175,4584315
176,1594951
177,1869475
178,1246656
179,1586048
180,1664586
181,7343552
182,7326085
183,7356070
184,7416725
185,7200183
186,6930042
187,7016404
188,7125584
189,7089702
190,6949816
191,4881033
192,5007299
