Instance,Costs
1,2262145
2,2425289
3,2424849
4,2359931
5,2371912
6,2277576
7,2306602
8,2148274
9,2302446
10,2331641
11,1524956
12,1398042
13,1449243
14,1533959
15,1493767
16,470475
17,439751
18,594024
19,434683
20,377735
21,2486285
22,2434151
23,2431572
24,2537380
25,2377353
26,2340528
27,2317997
28,2336555
29,2300166
30,2346090
31,1674436
32,1614581
33,1588443
34,1625460
35,1606783
36,459582
37,491756
38,370365
39,342970
40,496449
41,2541064
42,2399086
43,2562461
44,2450592
45,2462237
46,2337810
47,2393687
48,2348426
49,2407607
50,2412040
51,1778328
52,1830500
53,1786996
54,1740727
55,1660267
56,432560
57,382588
58,425125
59,441664
60,401633
61,2503553
62,2459407
63,2375284
64,2514458
65,2500252
66,2450548
67,2477575
68,2503976
69,2338812
70,2434612
71,1767344
72,1631445
73,1779348
74,1726729
75,1616815
76,507541
77,415140
78,432820
79,488071
80,527933
81,4866821
82,4931577
83,4862845
84,4719414
85,4833756
86,4596301
87,4198187
88,4510328
89,4588084
90,4569985
91,2928109
92,2951857
93,2923131
94,2875809
95,2980448
96,1003742
97,927950
98,1021760
99,1064719
100,688872
101,4961211
102,4977806
103,4892279
104,4753617
105,4888942
106,4524066
107,4495677
108,4729314
109,4643297
110,4715077
111,3350168
112,3350398
113,3523048
114,3222903
115,3319735
116,992652
117,979665
118,908531
119,839389
120,902546
121,4958608
122,4992416
123,4860845
124,4904785
125,4806671
126,4739080
127,4699117
128,4659081
129,4851728
130,4705398
131,3630226
132,3423950
133,3354887
134,3486694
135,3364186
136,898754
137,926375
138,896712
139,876180
140,1032166
141,4947730
142,5038859
143,4923788
144,4917037
145,4940880
146,4799362
147,4968240
148,4939033
149,4877565
150,5068375
151,3415078
152,3664019
153,3588596
154,3375598
155,3443465
156,858888
157,1078156
158,746580
159,883205
160,891977
161,6453541
162,7259956
163,6793444
164,7286334
165,7307369
166,6861182
167,6691531
168,6762099
169,6844107
170,6799849
171,4486227
172,4454812
173,4383122
174,4350511
175,4485233
176,1519951
177,1704770
178,1211875
179,1378946
180,1588953
181,7334353
182,7318564
183,7354198
184,7407700
185,7195019
186,6894400
187,6971463
188,7084445
189,7018136
190,6942139
191,4659155
192,4924123
193,5000639
194,4987181
195,4769804
196,1508348
197,1378094
198,1291980
199,1346233
200,1455652
201,7377628
202,7437824
203,7413174
204,7349540
205,7504415
206,7087568
207,7186317
208,7146959
209,7278897
210,7187248
211,5362773
212,5279193
213,5262724
214,5336626
215,5344448
216,1229942
217,1086650
218,1498609
219,1399053
220,1292868
221,7392267
222,7434901
223,7555985
224,7393010
225,7385993
226,7474810
227,7331912
228,7473183
229,7396888
230,7338020
231,5129294
232,5262059
233,5199210
234,5101950
235,5202582
236,1442453
237,1310315
238,1186193
239,1493895
240,1268531
241,9021156
242,9667801
243,9862668
244,8654686
245,9215280
246,8472755
247,8869393
248,8857721
249,9142154
250,9180199
251,5962391
252,5938817
253,5998770
254,5854171
255,5094090
256,1736491
257,2158896
258,1997212
259,2114793
260,1801379
261,9777524
262,9986880
263,9716579
264,9962004
265,9925022
266,9356258
267,9324755
268,9237828
269,9367190
270,9283120
271,6458636
272,6755974
273,6484492
274,6522952
275,6574126
276,2122082
277,1912565
278,1853847
279,1927396
280,1890537
281,9854300
282,9951886
283,9903107
284,9924655
285,9720809
286,9599692
287,9427718
288,9541549
289,9482826
290,9421700
291,6812762
292,7125493
293,7080814
294,6770042
295,6898448
296,1901748
297,1838484
298,1944134
299,1960660
300,1793016
301,9812722
302,9992014
303,9967581
304,9928209
305,9940675
306,9706474
307,9891780
308,9704211
309,10003909
310,10027785
311,6747619
312,6991909
313,7120923
314,6770494
315,6768359
316,1697219
317,1771887
318,1862816
319,2126811
320,1778510
321,12203693
322,12415640
323,11973426
324,12256390
325,12281690
326,10632493
327,11231282
328,11580029
329,11144054
330,10791837
331,7591278
332,7453593
333,7454653
334,6454296
335,7416939
336,1907989
337,2660924
338,1953306
339,2250085
340,1982202
341,12192784
342,12315424
343,12376124
344,12047147
345,12141132
346,11482763
347,11492518
348,11535332
349,11364683
350,11748692
351,7940554
352,8155368
353,8328065
354,8106467
355,8056460
356,2397835
357,2230646
358,2438336
359,2250055
360,2285464
361,12328111
362,12291883
363,12466731
364,12365119
365,12289724
366,12070155
367,12066124
368,11965726
369,11850526
370,11860198
371,8274307
372,8501450
373,8714211
374,8830576
375,8797069
376,2257705
377,2241555
378,2425153
379,2221842
380,2257361
381,12537588
382,12340316
383,12526436
384,12407773
385,12339371
386,12207563
387,12012611
388,12553461
389,12450160
390,12395262
391,8307266
392,8723317
393,8481267
394,8737659
395,8634601
396,2082736
397,2215703
398,2536204
399,2182038
400,2224164
401,2346598
402,2471657
403,2309226
404,2421310
405,2471830
406,2186119
407,2264905
408,2203638
409,2084157
410,2178789
411,1443173
412,1511467
413,1319572
414,1426442
415,1429144
416,289464
417,403083
418,365245
419,441504
420,410611
421,2374346
422,2430228
423,2451793
424,2491034
425,2414508
426,2256507
427,2305052
428,2262673
429,2246529
430,2347904
431,1489233
432,1477106
433,1550779
434,1530465
435,1437270
436,273172
437,425505
438,283937
439,399403
440,337755
441,2450259
442,2501696
443,2433005
444,2429094
445,2594379
446,2359441
447,2348520
448,2310594
449,2408876
450,2302123
451,1566186
452,1639544
453,1650280
454,1648026
455,1727893
456,408033
457,313642
458,340188
459,339954
460,330453
461,2424674
462,2487937
463,2583798
464,2477835
465,2431866
466,2489692
467,2316097
468,2312775
469,2476960
470,2410051
471,1628364
472,1745511
473,1596129
474,1815071
475,1740470
476,334773
477,341906
478,329129
479,331631
480,319459
481,4972627
482,4716548
483,4761917
484,4874392
485,4855728
486,4560265
487,4440700
488,4552420
489,4308459
490,4089393
491,2801882
492,2658520
493,2849810
494,2967985
495,2839677
496,622987
497,638282
498,687933
499,740766
500,634548
501,4989329
502,4885987
503,4860281
504,4873196
505,4854668
506,4571565
507,4454867
508,4574022
509,4621955
510,4534073
511,3073458
512,3010350
513,3080672
514,3034362
515,3078804
516,563902
517,761411
518,703517
519,667215
520,636556
521,4912487
522,4868474
523,4990992
524,4895133
525,4952696
526,4621566
527,4668614
528,4762084
529,4756485
530,4676801
531,3298310
532,3430996
533,3327771
534,3251750
535,3411723
536,609017
537,619757
538,531885
539,584668
540,672015
541,4887520
542,4995797
543,4886173
544,4944571
545,5093030
546,4912333
547,4773875
548,4696256
549,4777594
550,4942126
551,3460405
552,3545602
553,3531482
554,3410282
555,3498987
556,550181
557,615655
558,668772
559,628337
560,590550
561,7351644
562,7536415
563,7247138
564,6933498
565,7241354
566,6695171
567,6776654
568,6690695
569,6892392
570,6365088
571,4337848
572,4197948
573,4102836
574,4038898
575,4349641
576,915707
577,1190334
578,1035017
579,1142577
580,1078514
581,7283884
582,7352519
583,7389868
584,7328192
585,7290209
586,6733922
587,6972736
588,6957256
589,6942457
590,6784318
591,4434694
592,4455448
593,4562451
594,4736929
595,4497734
596,957353
597,894066
598,881481
599,899566
600,1150084
601,7449939
602,7302671
603,7470351
604,7456917
605,7376680
606,7108768
607,7218792
608,7305134
609,6988021
610,6900971
611,5131392
612,4890470
613,5091841
614,5024775
615,5045491
616,994037
617,877061
618,895375
619,879767
620,882175
621,7405722
622,7309088
623,7394006
624,7380816
625,7323402
626,7199214
627,7057216
628,7175837
629,7246520
630,7377608
631,5038804
632,5313163
633,5181347
634,5411383
635,4964976
636,1006327
637,910606
638,938691
639,921760
640,875344
,9785288
,9728139
,9707436
,9686077
,9569727
,9156176
,8949782
,9012278
,8952216
,9220287
,5440949
,5734791
,5535417
,5238600
,5866682
,1361204
,1436861
,1341305
,1504969
,1305531
,9720785
,9894797
,9935982
,9832668
,9772529
,9315448
,9206596
,8987367
,9099134
,9041288
,6007241
,6123798
,5945539
,6210114
,6059493
,1187249
,1135535
,1298000
,1084198
,1343205
,9731977
,9637079
,9819230
,9708021
,10088159
,9380915
,9399588
,9424665
,9148509
,9572960
,6654476
,6555841
,6895662
,7048510
,6721755
,1078501
,1240487
,1270644
,1314606
,1146226
,9848660
,9791377
,9914986
,9969271
,9825019
,9695134
,9676058
,9464094
,9635604
,9707238
,6825614
,6888613
,7112731
,7156677
,6983946
,1174157
,1244021
,1165312
,1279550
,1134626
,11996719
,11832279
,11975746
,12311400
,12276495
,10910940
,11372989
,11438348
,11445847
,11368068
,7121487
,6952049
,7252407
,6889004
,6987524
,1552635
,1619074
,1626781
,1172509
,1729328
,12103247
,12369345
,12355408
,12459482
,12453161
,11429824
,11568944
,11610452
,11496963
,11362874
,7588791
,7891505
,7559428
