Instance,Costs
1,2262145
2,2426495
3,2425344
4,2359963
5,2372035
6,2276657
7,2307026
8,2152149
9,2302538
10,2340288
11,1505216
12,1395780
13,1455492
14,1537163
15,1539532
16,458421
17,463820
18,619626
19,455395
20,377735
21,2486285
22,2434151
23,2431572
24,2537360
25,2377353
26,2340528
27,2319734
28,2334707
29,2295163
30,2346090
31,1711238
32,1651665
33,1654962
34,1657647
35,1586588
36,466216
37,489101
38,388733
39,352698
40,506783
41,2541064
42,2399086
43,2562461
44,2450592
45,2462237
46,2338604
47,2393687
48,2348426
49,2407596
50,2412040
51,2036005
52,2064609
53,1971477
54,2016463
55,1846506
56,437585
57,388889
58,466531
59,446602
60,408804
61,2503553
62,2459407
63,2375284
64,2514458
65,2500252
66,2450548
67,2477575
68,2503976
69,2338812
70,2434612
71,2136209
72,2037664
73,2214846
74,2148483
75,2065168
76,510175
77,418056
78,442817
79,494334
80,562542
81,4866821
82,4931577
83,4862845
84,4719414
85,4833756
86,4592811
87,4195343
88,4510328
89,4587611
90,4567163
91,2950084
92,2951857
93,2920540
94,2885253
95,2988973
96,940069
97,929232
98,1055531
99,1063211
100,691374
101,4961067
102,4977806
103,4892279
104,4753617
105,4888942
106,4527480
107,4493619
108,4729617
109,4643519
110,4715077
111,3414863
112,3400922
113,3559598
114,3348037
115,3514261
116,1005728
117,984427
118,920405
119,848920
120,939509
121,4958608
122,4992416
123,4860845
124,4904785
125,4806671
126,4739080
127,4699117
128,4659081
129,4851728
130,4705398
131,3969880
132,3920435
133,3780294
134,4079546
135,3721412
136,904605
137,934245
138,905724
139,876180
140,1044920
141,4947730
142,5038859
143,4923788
144,4917037
145,4940880
146,4799362
147,4968240
148,4939033
149,4877565
150,5068375
151,4462449
152,4624526
153,4354431
154,4230542
155,4295849
156,859478
157,1085467
158,749703
159,897128
160,891173
161,6453541
162,7260042
163,6793444
164,7286334
165,7307369
166,6863328
167,6688614
168,6768176
169,6844107
170,6800500
171,4469077
172,4460527
173,4401812
174,4356372
175,4485233
176,1429245
177,1681778
178,1206177
179,1369768
180,1546907
181,7334353
182,7318564
183,7355489
184,7407700
185,7195019
186,6894906
187,6972852
188,7085791
189,7018141
190,6942139
191,4675024
192,4959771
193,5031027
194,5031692
195,4862680
196,1517415
197,1385077
198,1301575
199,1355128
200,1475282
201,7377628
202,7437824
203,7413174
204,7349540
205,7504415
206,7087568
207,7186317
208,7146959
209,7278909
210,7187184
211,6113960
212,5819342
213,5565156
214,6094466
215,6169206
216,1241363
