Instance,Costs
1,2262055
2,2428577
3,2424715
4,2358972
5,2373407
6,2269116
7,2308390
8,2162084
9,2308163
10,2329886
11,1514082
12,1491862
13,1476063
14,1544512
15,1569406
16,639982
17,457026
18,748995
19,684998
20,471501
21,2479030
22,2421729
23,2424290
24,2527972
25,2368958
26,2259781
27,2293621
28,2296839
29,2258760
30,2307901
31,1483103
32,1473806
33,1407465
34,1477118
35,1452200
36,441917
37,481560
38,363386
39,341264
40,482241
41,2515666
42,2375209
43,2537162
44,2428505
45,2437205
46,2281664
47,2300738
48,2223218
49,2308288
50,2296623
51,1543478
52,1485934
53,1475628
54,1483936
55,1414882
56,423812
57,374216
58,422197
59,435706
60,393923
61,2478182
62,2417232
63,2341615
64,2478755
65,2458353
66,2231183
67,2305498
68,2286671
69,2215685
70,2233050
71,1509425
72,1453219
73,1496323
74,1460819
75,1444626
76,496307
77,408033
78,427186
79,468185
80,522810
81,4866868
82,4930738
83,4862740
84,4723518
85,4835053
86,4597531
87,4213296
88,4520435
89,4590405
90,4577477
91,2965846
92,2907879
93,2996088
94,2848281
95,2995509
96,904521
97,888438
98,975930
99,1008259
100,780052
101,4946410
102,4966240
103,4873779
104,4737398
105,4873002
106,4443707
107,4424813
108,4638711
109,4584623
110,4613541
111,3023637
112,2931174
113,3050351
114,2967027
115,2996063
116,984034
117,966290
118,899720
119,825333
120,883763
121,4920962
122,4935849
123,4812919
124,4860746
125,4776326
126,4549374
127,4543875
128,4428943
129,4644565
130,4500118
131,2968218
132,2890554
133,2857417
134,2922362
135,2882193
136,877231
137,907547
138,887357
139,863348
140,1024827
141,4869330
142,4956270
143,4858539
144,4836610
145,4864071
146,4474161
147,4580294
148,4642532
149,4468919
150,4703229
151,2906361
152,3037652
153,2988740
154,2907928
155,2922408
156,850725
157,1068840
158,744120
159,874459
160,884821
161,6460362
162,7258092
163,6797643
164,7283484
165,7306258
166,6858664
167,6687017
168,6757053
169,6841922
170,6794333
171,4333026
172,4557429
173,4347308
174,4335219
175,4407869
176,1732164
177,1868257
178,1683890
179,1711437
180,1769548
181,7315715
182,7296998
183,7330053
184,7390412
185,7172993
186,6807737
187,6884466
188,6977583
189,6925012
190,6811840
191,4364255
192,4379600
193,4507737
194,4449004
195,4347265
196,1497695
197,1369318
198,1278701
199,1324551
200,1448921
201,7312143
202,7371486
203,7350760
204,7289527
205,7432068
206,6803597
207,6782226
208,6845363
209,6969338
210,6780919
211,4413336
212,4377938
213,4475770
214,4418050
215,4505753
216,1218696
217,1077943
218,1479772
219,1378373
220,1286272
221,7298668
222,7316556
223,7441730
224,7299673
225,7291488
226,6849416
227,6767852
228,7037511
229,6782717
230,6774343
231,4303406
232,4420572
233,4291414
234,4343453
235,4483807
236,1433894
237,1305101
238,1167635
239,1486412
240,1255455
241,9029136
242,9666599
243,9862013
244,8664952
245,9220447
246,8508171
247,8878240
248,8863098
249,9121949
250,9169077
251,5940799
252,5937084
253,5857377
254,5942068
255,5333675
256,2362104
257,2215730
258,2155164
259,2107102
260,1869511
261,9747996
262,9961362
263,9693439
264,9936566
265,9901743
266,9195893
267,9156598
268,9106040
269,9237917
270,9155835
271,5815477
272,5997261
273,5862910
274,5968209
275,5850517
276,2104809
277,1903743
278,1841404
279,1911006
280,1874635
281,9790090
282,9853608
283,9804037
284,9836780
285,9632472
286,9104347
287,9051683
288,9157443
289,9102139
290,9029117
291,5940281
292,5971208
293,5924185
294,5710880
295,5890095
