Instance,Costs
1,117
2,1167
3,1120
4,1729
5,1705
6,134
7,1480
8,1565
9,199
10,400
11,460
12,840
13,2159500
14,65
15,69862
16,779
17,853
18,273
19,590
20,136
21,5600
22,38
23,225
24,2685
25,131
26,420
27,2424
28,9200
29,175
30,131
31,859
32,470
33,1081800
34,470
35,335
36,525
37,1280
38,2160
39,470
40,2470
41,1900
42,1060
43,1690
44,1590
45,80
46,11500
47,520
48,3580
49,322
50,5125
51,3580
52,930
53,849
54,495
55,3663
56,109
57,1200
58,204
59,2740
60,8800
61,6850
62,63250
63,172
64,203
65,2470
66,7750
67,12775
68,9200
69,5600
70,3400
71,3500
72,470
73,1500
74,27850
75,1500
76,303
77,150
78,450
79,3400
80,203
81,470
82,109
83,136
84,1167
85,117
86,1900
87,2470
88,99
89,1805
90,2424
91,190
92,83
93,2658000
94,240
95,68
96,150
97,3400
98,1500
99,199
100,820
101,779
102,63
103,267
104,779
105,590
106,94373769687
107,3580
108,610
109,779
110,490
111,1481
112,639
113,1196
114,880
115,286
116,909
117,470
118,1580
119,40
120,136
121,520
122,23
123,98
124,841
125,204
126,1705
127,1080
128,606
129,1465
130,4720
131,232
132,114
133,109
134,960
135,1730
136,2360
137,2500
138,327
139,1972900
140,2100
141,99
142,7815
143,57500
144,1705
145,2090
146,168
147,159
148,237900
149,350
150,1100
151,17010
152,6240
153,13200
154,230560
155,1220
156,9670
157,81630
158,2825
159,9670
160,34650
161,151720
162,1045
163,310
164,2470
165,2585
166,5920
167,1780
168,1167
169,378
170,665
