Instance,Costs
1,118
2,1425
3,970
4,1729
5,1705
6,137
7,1640
8,1640
9,207
10,390
11,460
12,840
13,2159500
14,69
15,68224
16,743
17,853
18,305
19,590
20,139
21,5600
22,34
23,260
24,2593
25,131
26,450
27,2424
28,9200
29,175
30,137
31,799
32,470
33,1074300
34,470
35,285
36,525
37,1220
38,2560
39,470
40,2650
41,1940
42,1060
43,1840
44,1555
45,76
46,11500
47,520
48,3460
49,316
50,5025
51,3460
52,920
53,809
54,417
55,3458
56,111
57,1200
58,218
59,2650
60,9500
61,6700
62,72250
63,190
64,211
65,2650
66,7750
67,12775
68,9200
69,5600
70,3400
71,3500
72,470
73,1440
74,27850
75,1440
76,299
77,151
78,460
79,3400
80,211
81,470
82,95
83,139
84,1425
85,118
86,1940
87,2310
88,99
89,1795
90,2424
91,194
92,88
93,2819800
94,256
95,77
96,144
97,3400
98,1440
99,207
100,830
101,743
102,63
103,361
104,743
105,590
106,94668559916
107,3460
108,610
109,743
110,660
111,1481
112,594
113,1006
114,820
115,250
116,924
117,470
118,1580
119,45
120,141
121,430
122,23
123,102
124,796
125,218
126,1705
127,1080
128,606
129,1465
130,4720
131,256
132,132
133,111
134,960
135,1730
136,2620
137,2500
138,291
139,1972000
140,2090
141,99
142,7605
143,57500
144,1705
145,2090
146,186
147,159
148,237900
149,350
150,1100
151,17010
152,5860
153,13200
154,230560
155,1245
156,9670
157,85090
158,2825
159,9670
160,34650
161,151980
162,1045
163,310
164,2470
165,2585
166,6240
167,1780
168,1425
169,384
170,765
