Instance,Costs
1,117
2,1131
3,970
4,1729
5,1705
6,137
7,1640
8,1565
9,207
10,390
11,460
12,840
13,2159500
14,65
15,60748
16,743
17,853
18,305
19,595
20,139
21,5600
22,34
23,225
24,2261
25,131
26,450
27,2424
28,9200
29,175
30,137
31,799
32,470
33,1074300
34,470
35,285
36,525
37,1265
38,2380
39,470
40,2650
41,1940
42,1060
43,1840
44,1555
45,76
46,11500
47,520
48,3460
49,316
50,5125
51,3460
52,920
53,809
54,417
55,3691
56,109
57,1200
58,218
59,2650
60,9500
61,6700
62,72250
63,190
64,211
65,2650
66,7750
67,12775
68,9200
69,5600
70,3400
71,3500
72,470
73,1500
74,27850
75,1500
76,303
77,151
78,460
79,3400
80,211
81,470
82,95
83,139
84,1131
85,117
86,1940
87,2310
88,99
89,1855
90,2424
91,194
92,88
93,2819800
94,256
95,77
96,150
97,3400
98,1500
99,207
100,830
101,743
102,63
103,361
104,743
105,595
106,94668559916
107,3460
108,610
109,743
110,660
111,1481
112,594
113,1006
114,820
115,250
116,924
117,470
118,1580
119,45
120,135
121,430
122,23
123,102
124,796
125,218
126,1705
127,1080
128,606
129,1465
130,4720
131,232
132,132
133,109
134,960
135,1730
136,2620
137,2500
138,291
139,1972000
140,2090
141,99
142,7605
143,57500
144,1705
145,2090
146,168
147,159
148,237900
149,350
150,1100
151,17010
152,6240
153,13200
154,230560
155,1245
156,9670
157,81630
158,2825
159,9670
160,34650
161,151980
162,1045
163,310
164,2470
165,2585
166,6240
167,1780
168,1131
169,384
170,765
