Instance,Costs
1,118
2,1295
3,1175
4,1729
5,1705
6,134
7,1600
8,1640
9,183
10,410
11,460
12,840
13,2159500
14,65
15,69862
16,779
17,853
18,278
19,590
20,136
21,5600
22,38
23,235
24,3063
25,131
26,450
27,2424
28,9200
29,175
30,137
31,859
32,470
33,1074300
34,470
35,285
36,525
37,1265
38,2380
39,470
40,2470
41,1960
42,1060
43,1690
44,1605
45,80
46,11500
47,520
48,3680
49,322
50,5125
51,3680
52,950
53,849
54,477
55,4323
56,117
57,1200
58,216
59,2740
60,10000
61,8500
62,63250
63,190
64,203
65,2470
66,7750
67,12775
68,9200
69,5600
70,3400
71,3500
72,470
73,1500
74,27850
75,1500
76,307
77,150
78,450
79,3400
80,203
81,470
82,109
83,136
84,1295
85,118
86,1960
87,2190
88,99
89,1855
90,2424
91,214
92,86
93,2820400
94,240
95,77
96,150
97,3400
98,1500
99,183
100,820
101,779
102,63
103,267
104,779
105,590
106,94661129187
107,3680
108,610
109,779
110,490
111,1481
112,741
113,1226
114,880
115,286
116,924
117,470
118,1790
119,45
120,136
121,520
122,23
123,100
124,796
125,216
126,1705
127,1080
128,606
129,1465
130,4720
131,256
132,111
133,117
134,960
135,2070
136,2360
137,2500
138,327
139,1972000
140,2100
141,99
142,7815
143,57500
144,1705
145,2090
146,186
147,159
148,237900
149,350
150,1100
151,17010
152,5860
153,13200
154,230560
155,1245
156,9670
157,84290
158,2825
159,9670
160,34650
161,151980
162,1045
163,310
164,2470
165,2585
166,7120
167,1780
168,1275
169,378
170,765
